store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,cost,weight,msrp,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,website,_media_image,_media_lable,_media_position,_media_is_disabled
admin,base,Describe,simple,"10,61,27,156",describe-htc820-cover,0,HTC 820 Cover,,,/h/t/htc_820_img.png,/h/t/htc_820_img.png,/h/t/htc_820_img.png,htc820-cover,htc820-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 3:59,,1,0,0,1,1,0,1,0,0,1,1,HTC 820 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-lenovoa6000-cover,0,Lenovo A6000 Cover,,,/l/e/lenovo_a6000_img.png,/l/e/lenovo_a6000_img.png,/l/e/lenovo_a6000_img.png,lenovoa6000-cover,lenovoa6000-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 3:59,,1,1,0,1,1,0,1,0,0,1,1,Lenovo A6000 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-lenovoa7000-cover,0,Lenovo A7000 Cover,,,/l/e/lenovo_a7000_img.png,/l/e/lenovo_a7000_img.png,/l/e/lenovo_a7000_img.png,lenovoa7000-cover,lenovoa7000-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 3:59,,1,0,0,1,1,0,1,0,0,1,1,Lenovo A7000 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-lenovok3note-cover,0,Lenovo K3 Note Cover,,,/l/e/lenovo_k3_note_img.png,/l/e/lenovo_k3_note_img.png,/l/e/lenovo_k3_note_img.png,lenovok3note-cover,lenovok3note-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 3:59,,1,0,0,1,1,0,1,0,0,1,1,Lenovo K3 Note Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-lenovok4note-cover,0,Lenovo K4 Note Cover,,,/l/e/lenovo_k4_note_img.png,/l/e/lenovo_k4_note_img.png,/l/e/lenovo_k4_note_img.png,lenovok4note-cover,lenovok4note-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 3:58,,1,0,0,1,1,0,1,0,0,1,1,Lenovo K4 Note Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-lenovok5note-cover,0,Lenovo K5 Note Cover,,,/l/e/lenovo_k5_note_img.png,/l/e/lenovo_k5_note_img.png,/l/e/lenovo_k5_note_img.png,lenovok5note-cover,lenovok5note-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 3:58,,1,0,0,1,1,0,1,0,0,1,1,Lenovo K5 Note Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-lenovok5plusvibe-cover,0,Lenovo K5 Plus Vibe Cover,,,/l/e/lenovo_k5_plus_vibe_img.png,/l/e/lenovo_k5_plus_vibe_img.png,/l/e/lenovo_k5_plus_vibe_img.png,lenovok5plusvibe-cover,lenovok5plusvibe-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 3:57,,1,0,0,1,1,0,1,0,0,1,1,Lenovo K5 Plus Vibe Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-lgg4-cover,0,LG G4 Cover,,,/l/g/lg_g4_img.png,/l/g/lg_g4_img.png,/l/g/lg_g4_img.png,lgg4-cover,lgg4-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 3:57,,1,0,0,1,1,0,1,0,0,1,1,LG G4 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-lgg5-cover,0,LG G5 Cover,,,/l/g/lg_g5_img.png,/l/g/lg_g5_img.png,/l/g/lg_g5_img.png,lgg5-cover,lgg5-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 3:57,,1,0,0,1,1,0,1,0,0,1,1,LG G5 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-motoe-cover,0,Moto E Cover,,,/m/o/moto_e_img.png,/m/o/moto_e_img.png,/m/o/moto_e_img.png,motoe-cover,motoe-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 3:56,,1,0,0,1,1,0,1,0,0,1,1,Moto E Cover,0,simple,,,,,,,
