"Choose Clipart Category","Choose Clipart Category"
"Note","Note"
": Click to Clipart to update price and color for each item. To delete Clipart(s), choice Action menu on top right.",": Click to Clipart to update price and color for each item. To delete Clipart(s), choice Action menu on top right."
"Manage Cliparts","Manage Cliparts"
"Add New Clipart","Add New Clipart"
"Action","Action"
"Upload Clipart","Upload Clipart"
"Supported Image Formats : ","Supported Image Formats : "
": - The clipart should be in transparent format (PNG or SVG) with the best quality of image. Don't upload a heavy size file.",": - The clipart should be in transparent format (PNG or SVG) with the best quality of image. Don't upload a heavy size file."
"Clipart Label","Clipart Label"
"Price","Price"
"Choose Clipart Category","Choose Clipart Category"
"Upload","Upload"
"Edit Clipart","Edit Clipart"
"Clipart Label","Clipart Label"
"--Please select--","--Please select--"
"Allow Filling Color","Allow Filling Color"
"Update","Update"
"Add Color","Add Color"
"Allow Filling Color: this option will allow user to change color of clipart. It will disabled Add Color.","Allow Filling Color: this option will allow user to change color of clipart. It will disabled Add Color."
"Add New Image - Color","Add New Image - Color"
"Image","Image"
"Preview Image","Preview Image"
"Color","Color"
"Save Color","Save Color"
" For other font type, please contact support."," For other font type, please contact support."
"- Allows font type:","- Allows font type:"
"- Single or Multi upload font files","- Single or Multi upload font files"
"Add New Font(s)","Add New Font(s)"
"Sample Text","Sample Text"
"Font Preview","Font Preview"
"Font Title","Font Title"
"If font display on Font Preview does not like as your font in design, it will not working on frontend too.","If font display on Font Preview does not like as your font in design, it will not working on frontend too."
"Manage Fonts Library","Manage Fonts Library"
"**Tips:","**Tips:"
"Add Clipart Colors","Add Clipart Colors"
"Back","Back"
"Base Clipart","Base Clipart"
"Color","Color"
"Corresponding Clipart","Corresponding Clipart"
"Position","Position"
"Remove","Remove"
"Add More +","Add More +"
"Create New Template","Create New Template"
"Save Changes","Save Changes"
"There is no template found. Please create new template for this product.","There is no template found. Please create new template for this product."
"Template Preview","Template Preview"
"Template Name","Template Name"
"Status","Status"
"Is Default","Is Default"
"Enable","Enable"
"Disable","Disable"
"Edit","Edit"
"Delete","Delete"
"No item found. Please add color.","No item found. Please add color."
"NOTE: This feature required all design sides must use background image and mask/overlay image. Please edit all side and try again.","NOTE: This feature required all design sides must use background image and mask/overlay image. Please edit all side and try again."
"Image of color","Image of color"
"Color Hexcode","Color Hexcode"
"Color Name","Color Name"
"Show Image","Show Image"
"Show Hexcode","Show Hexcode"
"Side Name","Side Name"
"View All Samples","View All Samples"
"Avaiable Colors","Avaiable Colors"
"This option commonly used in design T-shirt","This option commonly used in design T-shirt"
"Add Product Color","Add Product Color"
"View Product Colors","View Product Colors"
"Design Template","Design Template"
"Default Template","Default Template"
"Auto replace product image and thumbnails by default template design","Auto replace product image and thumbnails by default template design"
"This feature might not working properly with custom theme.","This feature might not working properly with custom theme."
"View Samples","View Samples"
"No side found. Let start by adding new side :)","No side found. Let start by adding new side :)"
"Step 1: Enable Customization Tool","Step 1: Enable Customization Tool"
"Step 2: Setting design area","Step 2: Setting design area"
"Add Product Side","Add Product Side"
"Step 3: Make this product special","Step 3: Make this product special"
"To speed up setting processing next time. You can create new option set based on this product config!","To speed up setting processing next time. You can create new option set based on this product config!"
"Load Setting From Option Set","Load Setting From Option Set"
"Option Set 1","Option Set 1"
"Option Set 2","Option Set 2"
"Create New Option Set","Create New Option Set"
"Enter Option Set Name","Enter Option Set Name"
"Save for later use","Save for later use"
"Save Option Set","Save Option Set"
"General Options","General Options"
"Select Product Image Categories","Select Product Image Categories"
"Select Product Colors","Select Product Colors"
"Select Product Fonts","Select Product Fonts"
"Default Color","Default Color"
"Default Font Size","Default Font Size"
"Default Font Height","Default Font Height"
"Price of text layer","Price of text layer"
"Price of user's image layer (upload images, facebook photo, instagram photo)","Price of user's image layer (upload images, facebook photo, instagram photo)"
"Enable/Disable Tab, Buttons","Enable/Disable Tab, Buttons"
"Enable Product Design Tab","Enable Product Design Tab"
"Enable Elements Tab","Enable Elements Tab"
"Enable Upload Tab","Enable Upload Tab"
"Enable Text Tab","Enable Text Tab"
"Enable Layers Tab","Enable Layers Tab"
"Enable Info Tab","Enable Info Tab"
"Enable Download Button","Enable Download Button"
"Enable Share Button - Need more config","Enable Share Button - Need more config"
"Enable Reset Button","Enable Reset Button"
"Enable Zoom Buttons","Enable Zoom Buttons"
"Enable/Disable Plugins","Enable/Disable Plugins"
"Enable Image Plugin","Enable Image Plugin"
"Enable Upload Plugin","Enable Upload Plugin"
"Enable Clipart Plugin","Enable Clipart Plugin"
"Enable Shape Plugin","Enable Shape Plugin"
"Enable Upload Facebook Photo","Enable Upload Facebook Photo"
"Enable Upload Instagram Photo","Enable Upload Instagram Photo"
"Enable Frame Plugin","Enable Frame Plugin"
"Enable QRCode Plugin","Enable QRCode Plugin"
"Enable Colorpicker","Enable Colorpicker"
"Enable Curved Text","Enable Curved Text"
"Enable Colorpicker","Enable Colorpicker"
"Please click","Please click"
""Reset Filter"",""Reset Filter""
"button to show all categories. Then remember to click","button to show all categories. Then remember to click"
""Save Selected Categories"",""Save Selected Categories""
"button after your selection!","button after your selection!"
